Name,,Fiscal Year,Pitchbook Link,Company Name,Year Founded,Employee Growth ,Current Employees,Keywords,Verticals,All Industries,Lead/Sole Investors,# Follow-on Investors,Financing Status,Business Status,Deal Date,Total Invested Equity,Raised to Date,Deal Class,Deal Type,VC Round,Deal Type 2,Deal Size,Series,Deal No.,VC Round Up/Down/Flat,Current Financing Status,Financing Status Note,Current Business Status,Description,Investors,Deal Synopsis,Deal Date
Bondsmart,,2020,https://pitchbook.com/profiles/company/264557-71,Bondsmart,2017,84.21041667,3,"bite-size  bonds investment, bonds investment platform, bonds platform,  co-investing partners, corporate bonds, corporate bonds investment,  corporate bonds investment platform",FinTech,"Brokerage, Financial Software*, Other Capital Markets/Institutions",,,Venture Capital-Backed,Generating Revenue,01/10/2019,,,Venture Capital,Early Stage VC,1,,,,2,,Venture Capital-Backed,The company raised venture funding from Creative UK and Edale on an undisclosed date.,Generating Revenue,"Developer  of a co-investing platform designed to facilitate investment in  corporate bonds. The company's platform offers direct co-ownership of  large corporate bonds using crowd technology, providing an alternative  way of getting steady returns from the big corporates, enabling  financial institutions to present fixed income in a simpler manner and  their clients to invest bite-size amounts in institutional bonds.","Creative UK, Edale (Lawrie Chandler)","The  company raised GBP 368,703 of venture funding from Defiance Ventures on  March 11, 2020, putting the company's pre-money valuation at GBP 5.86  million.",
Gather (Financial Software),,2020,https://pitchbook.com/profiles/company/343487-44,Gather (Financial Software),2019,"2021: 10, 2020: 7",10,"financial  service provider, fintech services, investment options, money  management service, subscription management, wealth advice, wealth-tech  solutions","FinTech, Mobile","Financial Software*, Information Services (B2C), Other Financial Services",Velocity Capital Advisors (Ajoy Veer Kapoor),,Venture Capital-Backed,Startup,01/10/2019,0.12,0.12,Venture Capital,Early Stage VC,1,,0.12,,1,,Venture Capital-Backed,"The  company raised GBP 100,000 of venture funding from Velocity Capital and  other undisclosed investors in October 2019, putting the company's  pre-money valuation at GBP 5 million.",Generating Revenue,"Developer  of a subscription-based investing application designed to help  customers in managing investments. The company's application  democratizes wealth to assist in money management and gives clients the  flexibility to invest in what really matters to them, enabling investors  to make wise investment decisions to access their preferred investment  opportunities.",Velocity Capital Advisors (Ajoy Veer Kapoor),The company raised EUR 2.95 million of seed funding on an undisclosed date.,
InPlayer,,2019,https://pitchbook.com/profiles/company/102134-62,InPlayer,2010,"2021: 150, 2020: 142, 2017: 31",160,"content  monetization, content monetization software, data capture, digital  asset monetization, digital content, digital content monetization, on  demand content, online video, pay-per-view video, video monetization","FinTech, Marketing Tech, TMT","Business/Productivity Software*, Financial Software, Media and Information Services (B2B), Publishing",South Central Ventures (Tatjana Zabasu Mikuz),1,Venture Capital-Backed,Generating Revenue,01/10/2019,,5.1,Venture Capital,Later Stage VC,5,,1.11,,5,,Venture Capital-Backed,"The  company raised $1 million of venture funding in the form of convertible  debt from South Central Ventures and Andurance Ventures on October 20,  2020.",Generating Revenue,"Developer  of a video monetization platform designed to redefine the way  businesses monetize their digital assets. The company's platform  generates subscription revenue from premium content, supports payment on  any platform with any device or currency, and protects any embedded  content including news posts, videos, images, documents, and webpages,  thereby enabling clients to make more money from their library of online  media assets.",South Central Ventures (Tatjana Zabasu Mikuz),"The  company raised GBP 229,914 of venture funding from WCS Nominees, Vala  Capital and other undisclosed investors on March 31, 2021, putting the  company's pre-money valuation at GBP 600,000.",
Qredo,,2019,https://pitchbook.com/profiles/company/117545-50,Qredo,2011,"2021: 74, 2020: 35, 2016: 12",77,"decentralized  custodian, digital asset custody, digital asset management, digital  asset storage, digital asset trading, liquidity protocol","Cryptocurrency/Blockchain, FinTech, SaaS, TMT","Financial Software, Other Commercial Services, Other Financial Services*",,1,Venture Capital-Backed,Generating Revenue,01/10/2019,0.94,7.84,Venture Capital,Seed Round,3,Seed Round,0.94,,4,Down Round,Venture Capital-Backed,"The  company raised $81.3 million of Series A venture funding in a deal led  by 10T Holdings on February 4, 2022, putting the company's pre-money  valuation at $314.93 million. Coinbase Ventures, AVA Labs, Signum  Capital, Vectr Fintech Partners, HOF Capital, Raptor Group, Flow  Ventures, GoldenTree Asset Management, Vectr Ventures, Terra Capital  Partners, Jinlin Capital, and Ash Park Capital also participated in the  round. The funds will be used to fuel growth through acquisitions,  product development, and geographic expansion. Other undisclosed  investors also participated in the round.",Generating Revenue,"Developer  of a cross-chain liquidity protocol designed to decentralize the  cryptocurrency custody industry. The company's protocol operates a  decentralized, institutional-grade layer network and offers security and  custody of digital assets, treasury and fund management tools, and  peer-to-peer trading venues among others, enabling businesses to  eliminate the operational and security burden of wallet key management  and the cyber-threats that result from trading operations, storage and  transfer of digital assets.","Amnis Ventures, Blockchain Made Real, Borderless Capital, G1 Ventures (London), gumi Cryptos Capital (Rui Zhang), Maven 11 Capital, SuperChain Capital, Tokentus (MUN: 14D)","The  company raised GBP 647,384 of venture funding from undisclosed  investors on September 4, 2013, putting the company's pre-money  valuation at GBP 3.21 million.",
Rapyd,,2019,https://pitchbook.com/profiles/company/231414-22,Rapyd,2015,"2021: 300, 2020: 280, 2019: 160",449,"cardless  payment, cardless transaction, cloud-based financial services,  cross-border ecommerce, digital wallet platform, fintech, foreign  currency conversion, foreign currency exchange, local payment  processing, payment network, payment platform","FinTech, Mobile, Mobile Commerce, SaaS","Financial Software*, Other Financial Services","Coatue Management, Oak HC/FT (Patricia Kemp), Tiger Global Management (Scott Shleifer)",4,Venture Capital-Backed,Generating Revenue,01/10/2019,104.01,186.07,Venture Capital,Later Stage VC,5,Series C,104.01,Series C,5,Up Round,Venture Capital-Backed,"The  company raised $300 million of Series E venture funding in a deal led  by Target Global on August 3, 2021, putting the company's pre-money  valuation at $8.45 billion. Durable Capital Partners and 10 other  investors also participated in the round. The company plans to use the  funding to make several more strategic acquisitions to both support  expansion in key markets and grow payment products and experiences.  Previously, the company raised $300 million through a combination of  debt and Series D venture funding in a deal led by Coatue Management on  January 13, 2021, putting the company's pre-money valuation at $2.22  billion. Durable Capital Partners, Global Tech Ventures, and 12 other  investors also participated in the round.",Generating Revenue,"Developer  of a digital fintech-as-a-service platform designed to order cash,  exchange extra foreign currency and send cash to friends. The company's  platform provides services like payments, checkout, funds collection,  fund disbursements, compliance as a service, foreign exchange, card  issuing and logistics across a wide range of geographies, enabling users  to make easy cash transactions, without requiring a bank account or  card, anywhere in the world.","Coatue Management, Durable Capital Partners, Entrée Capital, General Catalyst, Oak HC/FT (Patricia Kemp), Stripe, Target Global (Mikhail Lobanov), Tiger Global Management (Scott Shleifer)","The  company raised an estimated GBP 189,998 of venture funding from  undisclosed investors on October 17, 2016, putting the company's  pre-money valuation at GBP 2.11 million.",
Rosecut,,2019,https://pitchbook.com/profiles/company/268496-29,Rosecut,2018,"2021: 7, 2020: 9",9,"financial  planning, investment strategy, investment strategy management, risk  management advice, wealth generation, wealth management","Artificial Intelligence & Machine Learning, FinTech","Asset Management, Financial Software, Media and Information Services (B2B), Other Financial Services*",Q Ventures (Robert Walsh),,Venture Capital-Backed,Generating Revenue,01/10/2019,1.24,1.39,Venture Capital,Seed Round,2,Seed Round,1.24,,3,Up Round,Venture Capital-Backed,"The  company raised GBP 1.5 million through a combination of debt and seed  funding from InReach Ventures and other undisclosed investors on  September 1, 2021, putting the company's pre-money valuation at GBP 2.84  million.",Generating Revenue,"Developer  of a financial platform intended to offer digital wealth management  services. The company's platform uses AI to guide on investment strategy  designed by private banking experts as well as offers bespoke guidance,  active investment management, and effortless visibility of wealth,  enabling clients to make the right decisions for long-term wealth  generation and proactive risk management.","Pretiosum Ventures (Yana Abramova), Q Ventures (Robert Walsh)","The  company raised GBP 2.36 million of seed funding in a deal led by Amnis  Ventures on January 30, 2019, putting the company's pre-money valuation  at GBP 44.75 million. Other undisclosed investors also participated in  this round.",
Vaultoro,,2019,https://pitchbook.com/profiles/company/171848-98,Vaultoro,2015,84.21388889,18,"assets  exchange, assets exchange system, bitcoin market, bitcoin trade,  cryptocurrencies trading, ethereum blockchain, gold exchange  application, gold exchange facility, gold exchange trading, online gold  exchange","Cryptocurrency/Blockchain, FinTech, SaaS, TMT","Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,01/10/2019,1.12,1.86,Individual,Equity Crowdfunding,,,1.12,,3,,Venture Capital-Backed,"The  company raised EUR 788,135 of venture funding from Fulgur Ventures,  Master Ventures, and other undisclosed investors in February 2020,  putting the company's pre-money valuation at EUR 10.51 million.  Previously, the company raised $1.12 million of equity crowdfunding via  BnkToTheFuture in October 2019, putting the company's pre-money  valuation at $26.43 million.",Generating Revenue,"Developer  of bitcoin trading software designed to trade physical gold and  cryptocurrencies. The company's platform trades gold and  blockchain-based assets including bitcoins and ethereum fast and easily  in a market of traders, enabling people to buy and sell allocated gold  with security, fast transfer, and low premium.",,"The  company raised GBP 335,692 of venture funding from CFV Ventures on an  undisclosed date, putting the company's pre-money valuation at GBP 10  million.",
Reducer,,2019,https://pitchbook.com/profiles/company/431556-67,Reducer,2017,"2021: 15, 2020: 10",16,"competitive quote, cost management system, cost savings analysis, financial costing, money saving, reduce cost",FinTech,"Financial Software*, Specialized Finance",,,Venture Capital-Backed,Generating Revenue,30/09/2019,0.72,0.91,Venture Capital,Early Stage VC,2,,0.72,,2,Up Round,Venture Capital-Backed,"The  company raised GBP 583,425 of venture funding from undisclosed  investors on September 30, 2019, putting the company's pre-money  valuation at GBP 3.15 million.",Generating Revenue,"Developer  of a cost management platform intended to save on bills. The company's  platform links cloud accounting platforms and analyses bills to provide  lower quotes from suppliers for the services used, enabling businesses  to save money on various services and contracts while increasing overall  profitability.",,"The  company raised GBP 349,900 of venture funding from Illuminate Financial  Management and other undisclosed investors on February 25, 2015,  putting the pre-money valuation at GBP 1.25 million. The company will  use the funding for growth and client adoption.",
Crowd2Fund,,2019,https://pitchbook.com/profiles/company/107730-82,Crowd2Fund,2013,"2021: 13, 2020: 13, 2015: 8",15,"blockchain,  business funding, crowdfunding community, crowdfunding network,  crowdfunding site, finance company, fintech, fintech saas, investment","FinTech, Industrials, TMT","Financial Software, Other Capital Markets/Institutions*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,25/09/2019,,,Individual,Equity Crowdfunding,,,1.48,,4,,Venture Capital-Backed,"The  company joined Astralabs as part of its Newchip Accelerator Program on  June 10, 2021, and received an undisclosed amount of funding.",Generating Revenue,"Operator  of a crowdfunding platform intended to offer several models of finance,  across debt and equity investments. The company's platform links  investors with business opportunities without the need for a bank or any  other financial institution, supports the businesses to improve their  growth, enabling businesses to get access to funds at competitive rates  and investors to get generous returns on their investments.",,"The  company raised GBP 2.5 million of Series A funding from Illuminate  Financial Management on March 14, 2017, putting the pre-money valuation  at GBP 5.5 million.",
MishiPay,,2019,https://pitchbook.com/profiles/company/167227-21,MishiPay,2015,"2021: 70, 2019: 27, 2017: 6",80,"barcode  imaging, barcode scan engine, cashierless check-out, cashierless  technology, checkout-free, mobile payment, mobile payment app, mobile  payment application, mobile payment system, payment application, payment  solutions, retail technology","FinTech, Mobile, Mobile Commerce, SaaS","Application Software, Financial Software*",,1,Venture Capital-Backed,Generating Revenue,24/09/2019,4.31,7.23,Venture Capital,Early Stage VC,3,Series A,4.31,Series A,12,Up Round,Venture Capital-Backed,"The company raised an undisclosed amount of venture funding on July 19, 2021.",Generating Revenue,"Developer  of fintech application designed to offer self-checkout technology. The  company's application lets shoppers pick a product they wish to buy,  scan the barcode and automatically pay with their phone, enabling users  to make secure cashless payments and save time by not waiting in queues.","American Express Ventures (Julia Huang), Commerce Ventures, Nauta Capital (Carles Roqueta), SAP.iO, United Ventures","The  company raised an undisclosed amount of venture funding in the form of  convertible debt from Future Fund on September 1, 2020.",
Plum(Financial Software),,2019,https://pitchbook.com/profiles/company/167020-57,Plum(Financial Software),2016,"2021: 95, 2020: 60",90,"expense  insights, financial chatbot, money saving, money saving assistant,  personal finance tools, personal saving assistant, personal savings  chatbot, simplify money saving","Artificial Intelligence & Machine Learning, FinTech, Mobile","Financial Software*, Information Services (B2C)",,,Venture Capital-Backed,Generating Revenue,20/09/2019,3.03,11.43,Individual,Equity Crowdfunding,,,3.03,,6,,Venture Capital-Backed,"The  company raised GBP 24.77 million of Series A venture funding in a deal  led by dmg ventures, Graffiti. and Ventura Capital on January 10, 2022,  putting the company's pre-money valuation at GBP 46.99 million. 500  Global, VentureFriends, Global Brain, Finberg (Istanbul), and other  investors also participated in the round. Of the total amount, GBP 6.58  was raised in the form of equity crowdfunding via crowd cube. The  company intends to use the fund to drive its expansion through an  ambitious growth program of customer-led developments, following a  successful year that saw a 189% increase in year-on-year revenue.",Generating Revenue,"Developer  of a money management application designed to help people save money.  The company's platform is AI and behavioral economics-based that  monitors users' accounts on a regular basis in order to automate savings  and investments as well as provides actionable insights on expense  management, enabling users to save money, reduce expenses and manage  their finances.",,"The  company raised GBP 838,714 of venture funding in a deal led by Bristol  Private Equity Club on October 25, 2016, putting the company's pre-money  valuation at GBP 2.02 million.",
FriendlyScore,,2019,https://pitchbook.com/profiles/company/101499-94,FriendlyScore,2014,"2021: 11, 2017: 16, 2016: 2, 2015: 2",8,"borrower  analysis, credit portal, credit score analysis, credit score tools,  credit verification, financial services, open banking","FinTech, SaaS, TMT","Financial Software*, Information Services (B2C), Other Financial Services",,,Venture Capital-Backed,Generating Revenue,19/09/2019,0.37,2.44,Individual,Angel (individual),Angel,Angel (individual),0.37,,6,Down Round,Venture Capital-Backed,"The  company raised GBP 3.09 million of venture funding from Plutus  Investment Group and other undisclosed investors on May 4, 2022, putting  the company's pre-money valuation at GBP 50.24 million.",Generating Revenue,"Developer  of a SaaS-based alternative credit scoring technology designed to  improve users' credit scores and help them to get loans. The company's  technology analyses big data to assess borrower risk, creditworthiness,  and default probability, enabling users to access an alternative  approach to the traditional credit scoring to evaluate thinner-file  borrowers such as students, foreign nationals, and under-banked  populations.",,"The  company raised GBP 1.81 million of venture funding from undisclosed  investors on February 10, 2022, putting the company's pre-money  valuation at GBP 5.59 million.",
Tumelo,,2019,https://pitchbook.com/profiles/company/279832-24,Tumelo,2017,"2021: 32, 2020: 12, 2019: 7",53,"board  meeting, esg integration, financial application, fund management,  impact investing, impact investing platform, impact investment platform,  investment portfolio, proxy voting, shareholders communication,  shareholders data management, shareholders representation","FinTech, Impact Investing","Financial Software, Information Services (B2C), Other Financial Services*",Peter Gabriel (Peter Gabriel),,Venture Capital-Backed,Generating Revenue,19/09/2019,1.23,1.49,Individual,Seed Round,2,Seed Round,1.23,,5,Up Round,Venture Capital-Backed,"The  company raised GBP 26.5 million of Series A venture funding in a deal  led by Treasury on May 10, 2022. KD Venture Partners, Nucleus Adventure  Capital, Fidelity International Strategic Ventures, Legal & General  Investment Management, Fidelity Investments along with 3 individual  investors and other undisclosed investors also participated in the  round. The funding will be used to build more partnerships and to expand  into the US and Australia.",Generating Revenue,"Operator  of an impact-focused financial technology company intended to bring  investment platforms closer to their end investors. The company's  software shows investors the companies they own and empowers them to  engage on issues they care about, such as gender equality or climate  change, helping investment firms connect with customers so they can  better serve people and protect our planet.",Peter Gabriel (Peter Gabriel),"The  company raised GBP 1.61 million of venture funding in a deal led by  Bloc Ventures on March 14, 2018, putting the company's pre-money  valuation at GBP 5.45 million. Bristol Private Equity Club also  participated in the round. The investment will enable company's  Limitless Compute technology to now expand its capabilities from  animation rendering today to multiple vertical market most notably  financial services.",
Wagonex,,2019,https://pitchbook.com/profiles/company/264598-21,Wagonex,2016,"2021: 11, 2020: 9",11,"auto commerce, car maintenance, car rental, car repair, car subscription, mobility tech, roadside assistance","FinTech, InsurTech, Mobility Tech","Application Software, Automotive*, Automotive Insurance",Development Bank of Wales,,Venture Capital-Backed,Generating Revenue,19/09/2019,0.83,1.23,Venture Capital,Early Stage VC,1,,0.83,,3,,Venture Capital-Backed,"The  company raised GBP 617,613 of venture funding from Pario Ventures and  undisclosed investors on September 15, 2021, putting the company's  pre-money valuation at GBP 3.24 million.",Generating Revenue,"Developer  of a car rental platform intended to offer flexible all-inclusive car  subscriptions. The company's platform offers services like car repair,  insurance, maintenance and roadside assistance, enabling clients to  enjoy ownership of vehicles without responsibilities.","David Murray-Hundley (David Murray-Hundley), Development Bank of Wales","The  company is reportedly seeking an undisclosed amount of venture funding  from SafeCharge, Philippe Menier and Thierry Michel as of June 14, 2021.",
Fidel API,,,https://pitchbook.com/profiles/company/150338-62,Fidel API,2012,"2021: 90, 2019: 31, 2016: 9, 2014: 4",130,"consumer  financial data, financial data sharing, payment data, payment data  links, payment data processing, payment data security","FinTech, SaaS, TMT","Application Software, Business/Productivity Software, Financial Software*","Nyca Partners (John Morris), QED Investors (Yusuf Ozdalga)",,Venture Capital-Backed,Generating Revenue,18/09/2019,27.36,28.63,Venture Capital,Later Stage VC,1,Series A,27.36,Series A,6,Up Round,Venture Capital-Backed,"The  company raised Series B of venture funding of $65 million in a deal led  by Bain Capital Ventures on April 06, 2022. Nyca Partners, QED  Investors, Visa, Citi Ventures, RBC Capital, Commerce Ventures and other  undisclosed investors also participated in the round. The funds will be  used to meet the ever-increasing demand for developer tools that enable  programmable money experiences. Previously, the company raised GBP 9.16  million of Series A2 venture funding from Green Bay Ventures and other  undisclosed investors on February 15, 2022, putting the company's  pre-money valuation at GBP 73.10 million.",Generating Revenue,"Developer  of a multi-account payment data linking platform designed to link  payment cards with mobile and web applications. The company's platform  integrates directly with various payment cards such as Visa, Mastercard  and Amex to get granular transaction data, including amount, location,  date and merchant in real-time thus utilizing consumers' financial data  for improved marketing and customer engagement, enabling e-retailers to  monitor and reward customers based on actual spending.","500 Global, Citi Ventures, Commerce Ventures, Cristóbal Conde (Cristóbal Conde), Elefund, Horizons Ventures, Nyca Partners (John Morris), QED Investors (Yusuf Ozdalga), RBC Ventures, Taavet Hinrikus (Taavet Hinrikus)","The company is reportedly seeking GBP 10 million of seed funding from undisclosed investors as of May 6, 2022.",
TreasurySpring,,2019,https://pitchbook.com/profiles/company/234972-64,TreasurySpring,2016,"2021: 19, 2020: 14",19,"corporate treasury, corporate treasury tech, financial infrastructure, financial product, fixed income tech, money market tech",FinTech,"Financial Software*, Other Capital Markets/Institutions",ETFS Capital (Graham Tuckwell),1,Venture Capital-Backed,Generating Revenue,16/09/2019,2.59,4.72,Venture Capital,Early Stage VC,3,,2.59,,3,Up Round,Venture Capital-Backed,"The  company raised GBP 6.44 million of Series A venture funding in a deal  led by MMC Ventures and Anthemis on July 31, 2021, putting the company's  pre-money valuation at GBP 31.56 million. ETFS Capital and other  undisclosed investors also participated in the round. The funds will be  used for the growth of the team, with a particular focus on sales and  marketing and to accelerate expansion across sectors and geographies.",Generating Revenue,"Provider  of a financial investment platform intended to revolutionize  institutional short-term funding markets. The company's platform is  based on applied legal, financial, and operational technology which  facilitates the creation, issuance of and investment in a new class of  financial instrument - fixed-term funds, enabling investors and lenders  to diversify away from their current exposure to unsecured financial  institutions risk while increasing security and increasing yields.","ESO Capital Group (James Sharp), ETFS Capital (Graham Tuckwell), MMC Ventures","The  company raised GBP 7.38 million of venture funding from Jefferies  Group, IHS Markit and Illuminate Financial Management on April 10, 2018,  putting the company's pre-money valuation at GBP 13.39 million. The  funds will be used for product development, scale sales, partnerships  and marketing efforts in both established and new regions.",
Aztec,,,https://pitchbook.com/profiles/company/234886-51,Aztec,2017,"2021: 17, 2020: 8",63,"blockchain privacy network, ethereum coding, ethereum network, ethereum protocol, ethereum trading, public blockchain protocol","Cryptocurrency/Blockchain, FinTech","Financial Software*, Other Financial Services",,1,Venture Capital-Backed,Generating Revenue,15/09/2019,1.84,4.42,Venture Capital,Seed Round,2,Seed Round,2.06,,4,,Venture Capital-Backed,"The  company raised GBP 12.55 million of Series A venture funding in a deal  led by Paradigm on October 6, 2021, putting the company's pre-money  valuation at GBP 43.21 million. A. Capital Ventures, Libertus Capital,  Ethereal Ventures, Variant Fund, IOSG Ventures, Vitalik Buterin, Stani  Kulechov, Scalar Capital, and other undisclosed investors also  participated in the round. The funds will be used for the newly-launched  private bridge for Ethereum called Aztec Connect and to support network  decentralization and to continue developing the technology.",Generating Revenue,"Developer  of an Ethereum trading protocol intended to facilitate private  transactions across the public blockchain. The company's protocol  combines homomorphic encryption and range proofs for arithmetic checks  on encrypted numbers to ensure that negative numbers cannot subvert the  double-spend check, enabling companies to offer financial services with  privacy on the public chain and use existing digital assets.","A.Capital Ventures, Coinbase Ventures, Libertus Capital","The  company raised GBP 15.80 million of Series B venture funding from  Deutsche Börse Group, DB1 Ventures and Citigroup on September 22, 2020,  putting the company's pre-money valuation at GBP 25.98 million. Deutsche  Bank also participated in the round. The funds will be used by the  company to further innovate the platform and technological capability to  deliver an enhanced product and service for clients and partners and  also to expand its sales and client service capabilities in the U.S. and  Asia to meet greater demand.",
Byhiras,,2019,https://pitchbook.com/profiles/company/266017-33,Byhiras,2011,84.21597222,10,"big  data system, investment management, investment management comprison,  investment solution, performance analytics solution, risk analytics",FinTech,"Business/Productivity Software, Financial Software*, Media and Information Services (B2B)",,,Venture Capital-Backed,Generating Revenue,12/09/2019,2,26.35,Venture Capital,Later Stage VC,2,,2,,8,Flat Round,Venture Capital-Backed,"The  company raised GBP 5.06 million of venture funding from undisclosed  investors on October 22, 2021, putting the company's pre-money valuation  at GBP 22.31 million.",Generating Revenue,"Developer  of an accountability platform designed to validate and aggregate data  about fees and expenses disclosed by asset managers to LGPS pension  funds. The company's platform aggregates data at the most granular level  from the source, validates the data and also facilitates reporting and  data comparison between managers, and users to disseminate proprietary  information throughout the investment management supply chain.",,The company raised funding from Groupon on an undisclosed date.,
Project Imagine,,2019,https://pitchbook.com/profiles/company/265215-61,Project Imagine,2018,"2021: 40, 2019: 36",19,"fintech  company, fintech platform, fintech services, fintech startup,  personalized finance, robo advisor, wealth management application",FinTech,"Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,12/09/2019,6.75,11.18,Venture Capital,Early Stage VC,2,,6.75,,4,Up Round,Venture Capital-Backed,"The  company raised GBP 7.02 million of venture funding from undisclosed  investors on May 27, 2022, putting the company's pre-money valuation at  GBP 70.92 million.",Generating Revenue,"Developer  of a financial platform intended to offer proprietary financial  products as a new banking and wealth management alternative. The  company's platform helps users to track their money across spending,  savings, and investment buckets in a single home screen and access a  current account, budgeting tool, and an investment manager in one  application, enabling individuals to access reliable and easier control  of their finances to grow financially.",,"The company raised $30 million of Series A funding from lead investor Rho Ventures on December 17, 2008.",
Smart Pension,,2019,https://pitchbook.com/profiles/company/124481-44,Smart Pension,2014,2021: 500,524,"automated  enrollment software, financial technology, pension administration,  pension service, pension solutions, workplace pension, workplace pension  service","FinTech, SaaS, TMT","Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,12/09/2019,12.2,54.97,Venture Capital,Later Stage VC,3,Series C,12.2,Series C,5,Up Round,Venture Capital-Backed,"The  company raised GBP 165 million of Series D venture funding in a deal  led by Chrysalis Investments on June 28, 2021, putting the company's  pre-money valuation at GBP 289.46 million. DWS Group and Natixis also  participated in the round. The funding will be used to strengthen its  global retirement technology platform offering and expansion into the  world's largest retirement markets, grow its retirement technology  platform offering in the UK, the US, Australia, and the Middle East,  with additional territories to follow including the Netherlands where  the entire retirement system is moving to Defined Contribution (DC).",Generating Revenue,"Operator  of an automated enrollment pension platform intended to streamline and  promote pensions, savings, and financial well-being. The company's  platform allows clients to automate enrollment, manage pension funds and  beneficiaries, and offers financial literacy content, pension  calculators, governance guides, and interactive planning tools, enabling  clients to protect the financial futures of their members.","Barclays (LON: BARC) (Hannah Bernard), HSBC Bank UK, Link Group (Australia) (ASX: LNK) (John McMurtrie), Outrun Ventures","The  company raised GBP 2.49 million of venture funding from Consonance  Investment Managers, LAUNCH AFRICA Ventures and Octerra Capital on May  5, 2022, putting the company's pre-money valuation at GBP 7.21 million.",
Insly,,2019,https://pitchbook.com/profiles/company/101780-65,Insly,2014,"2021: 36, 2020: 38, 2016: 30, 2015: 51",55,"financial  software, insurance broker software, insurance management, insurance  software, insurance software suite, online insurance","FinTech, InsurTech, SaaS, TMT","Business/Productivity Software, Financial Software*, Media and Information Services (B2B), Other Insurance","Black Pearls VC (Marcin Kowalik), Concentric (Kjartan Rist)",1,Venture Capital-Backed,Generating Revenue,10/09/2019,4.65,7.87,Venture Capital,Later Stage VC,3,Series A,4.65,Series A,4,,Venture Capital-Backed,"The  company raised EUR 2.49 million of seed funding from UNIQA Ventures,  British Business Bank and Concentric on December 15, 2020, putting the  company's pre-money valuation at EUR 5.15 million. Flavia Richardson and  Baris Aksoy also participated in the round.",Generating Revenue,"Developer  of an insurance management software designed to help users manage  insurance sales in a simple way. The company's software lets users  search and manage clients, policies, objects and payments, sales  workflow, accounting, and billing management, besides offering easy  customization, online cloud storage and customer support, enabling  insurance agents and brokers to manage sales from start to finish and  administrate all insurance policies.","Black Pearls VC (Marcin Kowalik), Concentric (Kjartan Rist), London Co-Investment Fund (Puneet Bhatia), National Center for Research and Development, Specialist VC, UNIQA Ventures (Andreas Nemeth)","The  company raised an estimated GBP 1.44 of venture funding from Digital  Currency Group, Henry Ritchotte and Darren Coote on June 12, 2017,  putting the pre-money valuation at GBP 30.64 million.",
Paddle,,2019,https://pitchbook.com/profiles/company/58964-68,Paddle,2012,"2021: 140, 2020: 140, 2019: 140, 2018: 120, 2017: 35, 2016: 16, 2015: 14, 2014: 8",275,"application  licensing, customer service app, developer tools, ecommerce platform,  in-app purchases, multiple payment options, payments process technology","FinTech, SaaS, TMT","Business/Productivity Software, Financial Software*",,,Venture Capital-Backed,Generating Revenue,10/09/2019,7.95,32.01,Venture Capital,Later Stage VC,6,,7.95,,8,Flat Round,Venture Capital-Backed,"The  company raised $200 million of Series D venture funding in a deal led  by Kohlberg Kravis Roberts on May 10, 2022, putting the company's  pre-money valuation at $1.2 billion. FTV Capital, 83North, Kindred  Capital, Notion, Silicon Valley Bank and other undisclosed investors  also participated in the round. Silicon Valley Bank provided debt  financing in the form of a loan in support of this transaction.  Previously, the company raised GBP 52 million of Series C venture  funding in a deal led by FTV Capital on November 17, 2020. BGF, Kindred  Capital, Notion, 83North and SV-FINTECH Fund also participated in the  round.",Generating Revenue,"Developer  of revenue delivery software designed to power growth across  acquisition, renewals, and expansion. The company's platform allows  companies to transform their revenue delivery infrastructure into a  strategic growth lever to sell globally with all sales tax, payments,  and data compliance guaranteed, enabling companies to increase global  conversions, reduce churn, stay compliant, and scale up fast.",,"The  company received an estimated GBP 2.5 million of strategic financing  from Singapore Exchange (SES: S68) on May 4, 2018. putting the pre-money  valuation at GBP 34 million. The company intends to use the funds for  expansion of their footprint into the FX space, further accelerating  technology development and build out of the team.",
